2026-01-07 11:35:44 | INFO     | ITAM-Agent | ✓ Datos recolectados: DESKTOP-DEMKIJN (PF3WY2XF)
2026-01-07 11:35:44 | INFO     | ITAM-Agent |   ✓ Host: DESKTOP-DEMKIJN
2026-01-07 11:35:44 | INFO     | ITAM-Agent |   ✓ Usuario: DESKTOP-DEMKIJN\SOFIAA
2026-01-07 11:35:44 | INFO     | ITAM-Agent |   ✓ IP: 10.226.166.125
2026-01-07 11:35:44 | INFO     | ITAM-Agent | Paso 2/3: Enviando reporte al servidor...
2026-01-07 11:35:44 | INFO     | ITAM-Agent | Enviando reporte a http://localhost:8000/api/report (intento 1/3)
2026-01-07 11:35:44 | INFO     | ITAM-Agent | ✓ Reporte enviado exitosamente: DESKTOP-DEMKIJN
2026-01-07 11:35:44 | INFO     | ITAM-Agent |   ✓ Reporte enviado exitosamente
2026-01-07 11:35:44 | INFO     | ITAM-Agent | Paso 3/3: Esperando 300 segundos hasta el próximo ciclo...
2026-01-07 11:40:44 | INFO     | ITAM-Agent | 
============================================================
2026-01-07 11:40:44 | INFO     | ITAM-Agent | CICLO #6 - 2026-01-07 11:40:44
2026-01-07 11:40:44 | INFO     | ITAM-Agent | ============================================================
2026-01-07 11:40:44 | INFO     | ITAM-Agent | Paso 1/3: Recolectando datos del sistema...
2026-01-07 11:40:44 | INFO     | ITAM-Agent | Iniciando recolección de datos del sistema...
2026-01-07 11:40:47 | INFO     | ITAM-Agent | ✓ Datos recolectados: DESKTOP-DEMKIJN (PF3WY2XF)
2026-01-07 11:40:47 | INFO     | ITAM-Agent |   ✓ Host: DESKTOP-DEMKIJN
2026-01-07 11:40:47 | INFO     | ITAM-Agent |   ✓ Usuario: DESKTOP-DEMKIJN\SOFIAA
2026-01-07 11:40:47 | INFO     | ITAM-Agent |   ✓ IP: 10.226.166.125
2026-01-07 11:40:47 | INFO     | ITAM-Agent | Paso 2/3: Enviando reporte al servidor...
2026-01-07 11:40:47 | INFO     | ITAM-Agent | Enviando reporte a http://localhost:8000/api/report (intento 1/3)
2026-01-07 11:40:48 | INFO     | ITAM-Agent | ✓ Reporte enviado exitosamente: DESKTOP-DEMKIJN
2026-01-07 11:40:48 | INFO     | ITAM-Agent |   ✓ Reporte enviado exitosamente
2026-01-07 11:40:48 | INFO     | ITAM-Agent | Paso 3/3: Esperando 300 segundos hasta el próximo ciclo...
2026-01-07 11:45:48 | INFO     | ITAM-Agent | 
============================================================
2026-01-07 11:45:48 | INFO     | ITAM-Agent | CICLO #7 - 2026-01-07 11:45:48
2026-01-07 11:45:48 | INFO     | ITAM-Agent | ============================================================
2026-01-07 11:45:48 | INFO     | ITAM-Agent | Paso 1/3: Recolectando datos del sistema...
2026-01-07 11:45:48 | INFO     | ITAM-Agent | Iniciando recolección de datos del sistema...
2026-01-07 11:45:51 | INFO     | ITAM-Agent | ✓ Datos recolectados: DESKTOP-DEMKIJN (PF3WY2XF)
2026-01-07 11:45:51 | INFO     | ITAM-Agent |   ✓ Host: DESKTOP-DEMKIJN
2026-01-07 11:45:51 | INFO     | ITAM-Agent |   ✓ Usuario: DESKTOP-DEMKIJN\SOFIAA
2026-01-07 11:45:51 | INFO     | ITAM-Agent |   ✓ IP: 10.226.166.125
2026-01-07 11:45:51 | INFO     | ITAM-Agent | Paso 2/3: Enviando reporte al servidor...
2026-01-07 11:45:51 | INFO     | ITAM-Agent | Enviando reporte a http://localhost:8000/api/report (intento 1/3)
2026-01-07 11:45:51 | INFO     | ITAM-Agent | ✓ Reporte enviado exitosamente: DESKTOP-DEMKIJN
2026-01-07 11:45:51 | INFO     | ITAM-Agent |   ✓ Reporte enviado exitosamente
2026-01-07 11:45:51 | INFO     | ITAM-Agent | Paso 3/3: Esperando 300 segundos hasta el próximo ciclo...
2026-01-07 11:50:51 | INFO     | ITAM-Agent | 
============================================================
2026-01-07 11:50:51 | INFO     | ITAM-Agent | CICLO #8 - 2026-01-07 11:50:51
2026-01-07 11:50:51 | INFO     | ITAM-Agent | ============================================================
2026-01-07 11:50:51 | INFO     | ITAM-Agent | Paso 1/3: Recolectando datos del sistema...
2026-01-07 11:50:51 | INFO     | ITAM-Agent | Iniciando recolección de datos del sistema...
2026-01-07 11:50:54 | INFO     | ITAM-Agent | ✓ Datos recolectados: DESKTOP-DEMKIJN (PF3WY2XF)
2026-01-07 11:50:54 | INFO     | ITAM-Agent |   ✓ Host: DESKTOP-DEMKIJN
2026-01-07 11:50:54 | INFO     | ITAM-Agent |   ✓ Usuario: DESKTOP-DEMKIJN\SOFIAA
2026-01-07 11:50:54 | INFO     | ITAM-Agent |   ✓ IP: 10.226.166.125
2026-01-07 11:50:54 | INFO     | ITAM-Agent | Paso 2/3: Enviando reporte al servidor...
2026-01-07 11:50:54 | INFO     | ITAM-Agent | Enviando reporte a http://localhost:8000/api/report (intento 1/3)
2026-01-07 11:50:54 | INFO     | ITAM-Agent | ✓ Reporte enviado exitosamente: DESKTOP-DEMKIJN
2026-01-07 11:50:54 | INFO     | ITAM-Agent |   ✓ Reporte enviado exitosamente
2026-01-07 11:50:54 | INFO     | ITAM-Agent | Paso 3/3: Esperando 300 segundos hasta el próximo ciclo...
2026-01-07 11:55:55 | INFO     | ITAM-Agent | 
============================================================
2026-01-07 11:55:55 | INFO     | ITAM-Agent | CICLO #9 - 2026-01-07 11:55:55
2026-01-07 11:55:55 | INFO     | ITAM-Agent | ============================================================
2026-01-07 11:55:55 | INFO     | ITAM-Agent | Paso 1/3: Recolectando datos del sistema...
2026-01-07 11:55:55 | INFO     | ITAM-Agent | Iniciando recolección de datos del sistema...
2026-01-07 11:55:58 | INFO     | ITAM-Agent | ✓ Datos recolectados: DESKTOP-DEMKIJN (PF3WY2XF)
2026-01-07 11:55:58 | INFO     | ITAM-Agent |   ✓ Host: DESKTOP-DEMKIJN
2026-01-07 11:55:58 | INFO     | ITAM-Agent |   ✓ Usuario: DESKTOP-DEMKIJN\SOFIAA
2026-01-07 11:55:58 | INFO     | ITAM-Agent |   ✓ IP: 10.226.166.125
2026-01-07 11:55:58 | INFO     | ITAM-Agent | Paso 2/3: Enviando reporte al servidor...
2026-01-07 11:55:58 | INFO     | ITAM-Agent | Enviando reporte a http://localhost:8000/api/report (intento 1/3)
2026-01-07 11:55:58 | INFO     | ITAM-Agent | ✓ Reporte enviado exitosamente: DESKTOP-DEMKIJN
2026-01-07 11:55:58 | INFO     | ITAM-Agent |   ✓ Reporte enviado exitosamente
2026-01-07 11:55:58 | INFO     | ITAM-Agent | Paso 3/3: Esperando 300 segundos hasta el próximo ciclo...
2026-01-07 12:00:58 | INFO     | ITAM-Agent | 
============================================================
2026-01-07 12:00:58 | INFO     | ITAM-Agent | CICLO #10 - 2026-01-07 12:00:58
2026-01-07 12:00:58 | INFO     | ITAM-Agent | ============================================================
2026-01-07 12:00:58 | INFO     | ITAM-Agent | Paso 1/3: Recolectando datos del sistema...
2026-01-07 12:00:58 | INFO     | ITAM-Agent | Iniciando recolección de datos del sistema...
2026-01-07 12:01:01 | INFO     | ITAM-Agent | ✓ Datos recolectados: DESKTOP-DEMKIJN (PF3WY2XF)
2026-01-07 12:01:01 | INFO     | ITAM-Agent |   ✓ Host: DESKTOP-DEMKIJN
2026-01-07 12:01:01 | INFO     | ITAM-Agent |   ✓ Usuario: DESKTOP-DEMKIJN\SOFIAA
2026-01-07 12:01:01 | INFO     | ITAM-Agent |   ✓ IP: 10.226.166.125
2026-01-07 12:01:01 | INFO     | ITAM-Agent | Paso 2/3: Enviando reporte al servidor...
2026-01-07 12:01:01 | INFO     | ITAM-Agent | Enviando reporte a http://localhost:8000/api/report (intento 1/3)
2026-01-07 12:01:02 | INFO     | ITAM-Agent | ✓ Reporte enviado exitosamente: DESKTOP-DEMKIJN
2026-01-07 12:01:02 | INFO     | ITAM-Agent |   ✓ Reporte enviado exitosamente
2026-01-07 12:01:02 | INFO     | ITAM-Agent | Paso 3/3: Esperando 300 segundos hasta el próximo ciclo...
2026-01-07 12:06:02 | INFO     | ITAM-Agent | 
============================================================
2026-01-07 12:06:02 | INFO     | ITAM-Agent | CICLO #11 - 2026-01-07 12:06:02
2026-01-07 12:06:02 | INFO     | ITAM-Agent | ============================================================
2026-01-07 12:06:02 | INFO     | ITAM-Agent | Paso 1/3: Recolectando datos del sistema...
2026-01-07 12:06:02 | INFO     | ITAM-Agent | Iniciando recolección de datos del sistema...
2026-01-07 12:06:06 | INFO     | ITAM-Agent | ✓ Datos recolectados: DESKTOP-DEMKIJN (PF3WY2XF)
2026-01-07 12:06:06 | INFO     | ITAM-Agent |   ✓ Host: DESKTOP-DEMKIJN
2026-01-07 12:06:06 | INFO     | ITAM-Agent |   ✓ Usuario: DESKTOP-DEMKIJN\SOFIAA
2026-01-07 12:06:06 | INFO     | ITAM-Agent |   ✓ IP: 10.226.166.125
2026-01-07 12:06:06 | INFO     | ITAM-Agent | Paso 2/3: Enviando reporte al servidor...
2026-01-07 12:06:06 | INFO     | ITAM-Agent | Enviando reporte a http://localhost:8000/api/report (intento 1/3)
2026-01-07 12:06:06 | INFO     | ITAM-Agent | ✓ Reporte enviado exitosamente: DESKTOP-DEMKIJN
2026-01-07 12:06:06 | INFO     | ITAM-Agent |   ✓ Reporte enviado exitosamente
2026-01-07 12:06:06 | INFO     | ITAM-Agent | Paso 3/3: Esperando 300 segundos hasta el próximo ciclo...
2026-01-07 12:11:06 | INFO     | ITAM-Agent | 
============================================================
2026-01-07 12:11:06 | INFO     | ITAM-Agent | CICLO #12 - 2026-01-07 12:11:06
2026-01-07 12:11:06 | INFO     | ITAM-Agent | ============================================================
2026-01-07 12:11:06 | INFO     | ITAM-Agent | Paso 1/3: Recolectando datos del sistema...
2026-01-07 12:11:06 | INFO     | ITAM-Agent | Iniciando recolección de datos del sistema...
2026-01-07 12:11:10 | INFO     | ITAM-Agent | ✓ Datos recolectados: DESKTOP-DEMKIJN (PF3WY2XF)
2026-01-07 12:11:10 | INFO     | ITAM-Agent |   ✓ Host: DESKTOP-DEMKIJN
2026-01-07 12:11:10 | INFO     | ITAM-Agent |   ✓ Usuario: DESKTOP-DEMKIJN\SOFIAA
2026-01-07 12:11:10 | INFO     | ITAM-Agent |   ✓ IP: 10.226.166.125
2026-01-07 12:11:10 | INFO     | ITAM-Agent | Paso 2/3: Enviando reporte al servidor...
2026-01-07 12:11:10 | INFO     | ITAM-Agent | Enviando reporte a http://localhost:8000/api/report (intento 1/3)
2026-01-07 12:11:10 | INFO     | ITAM-Agent | ✓ Reporte enviado exitosamente: DESKTOP-DEMKIJN
2026-01-07 12:11:10 | INFO     | ITAM-Agent |   ✓ Reporte enviado exitosamente
2026-01-07 12:11:10 | INFO     | ITAM-Agent | Paso 3/3: Esperando 300 segundos hasta el próximo ciclo...
2026-01-07 12:16:11 | INFO     | ITAM-Agent | 
============================================================
2026-01-07 12:16:11 | INFO     | ITAM-Agent | CICLO #13 - 2026-01-07 12:16:11
2026-01-07 12:16:11 | INFO     | ITAM-Agent | ============================================================
